customer_id,age,tenure_months,contract_type,internet_service,tech_support,payment_method,monthly_charges,total_charges,churn
CUST-0001,56,53,Two year,Fiber optic,No,Electronic check,105.0,5608.21,0
CUST-0002,69,66,Month-to-month,DSL,No,Electronic check,42.12,2644.54,0
CUST-0003,46,43,Two year,Fiber optic,No internet service,Credit card,108.02,4608.86,0
CUST-0004,32,23,One year,Fiber optic,Yes,Credit card,86.19,1936.17,0
CUST-0005,60,55,One year,DSL,Yes,Credit card,59.74,3223.02,0
CUST-0006,25,16,One year,No,No,Credit card,18.46,284.61,0
CUST-0007,38,8,Two year,No,No,Electronic check,28.45,246.89,1
CUST-0008,56,4,Month-to-month,Fiber optic,No,Mailed check,101.57,441.41,1
CUST-0009,36,4,Month-to-month,Fiber optic,No internet service,Bank transfer,70.44,293.8,1
CUST-0010,40,56,One year,No,No internet service,Mailed check,23.97,1309.04,0
CUST-0011,28,25,Two year,DSL,No internet service,Mailed check,55.51,1406.2,0
CUST-0012,28,67,One year,Fiber optic,No,Mailed check,101.2,6786.61,0
CUST-0013,41,67,One year,DSL,No,Bank transfer,55.85,3788.75,0
CUST-0014,70,27,Month-to-month,Fiber optic,No,Bank transfer,83.68,2298.21,1
CUST-0015,53,32,Two year,DSL,Yes,Electronic check,57.77,1850.16,0
CUST-0016,57,50,Month-to-month,No,No,Mailed check,19.66,938.14,0
CUST-0017,41,61,Month-to-month,No,Yes,Mailed check,23.27,1386.82,0
CUST-0018,20,51,Month-to-month,DSL,No internet service,Bank transfer,40.3,2027.81,0
CUST-0019,39,19,Month-to-month,Fiber optic,No,Electronic check,101.18,1906.66,1
CUST-0020,70,21,Month-to-month,No,No,Bank transfer,26.14,562.34,0
CUST-0021,19,5,Month-to-month,Fiber optic,No,Electronic check,80.13,436.41,0
CUST-0022,41,42,One year,No,Yes,Mailed check,29.54,1238.12,0
CUST-0023,61,61,Month-to-month,Fiber optic,Yes,Credit card,97.44,5944.65,0
CUST-0024,47,22,Month-to-month,Fiber optic,No,Bank transfer,111.18,2453.13,0
CUST-0025,55,21,Month-to-month,DSL,Yes,Electronic check,58.11,,1
CUST-0026,19,70,Month-to-month,DSL,No,Bank transfer,48.97,3381.63,0
CUST-0027,38,1,Month-to-month,Fiber optic,No internet service,Bank transfer,95.57,18.0,0
CUST-0028,50,5,Month-to-month,Fiber optic,No internet service,Credit card,82.36,377.04,1
CUST-0029,29,12,One year,Fiber optic,No,Bank transfer,91.35,1119.86,1
CUST-0030,39,46,One year,Fiber optic,Yes,Bank transfer,85.02,3875.77,0
CUST-0031,61,34,One year,Fiber optic,No internet service,Mailed check,96.07,3254.49,1
CUST-0032,42,49,Month-to-month,No,No internet service,Electronic check,28.2,1405.12,0
CUST-0033,66,45,Month-to-month,No,Yes,Electronic check,20.55,950.78,0
CUST-0034,44,27,Two year,Fiber optic,No,Mailed check,98.43,2603.63,0
CUST-0035,59,26,Month-to-month,No,Yes,Bank transfer,24.51,687.11,0
CUST-0036,45,47,Month-to-month,Fiber optic,No internet service,Mailed check,72.3,3454.47,0
CUST-0037,33,56,Month-to-month,Fiber optic,No internet service,Electronic check,80.48,4450.39,0
CUST-0038,32,63,Month-to-month,No,Yes,Electronic check,19.56,1191.09,1
CUST-0039,64,48,Month-to-month,DSL,No internet service,Mailed check,42.54,2101.47,0
CUST-0040,68,61,Month-to-month,DSL,No,Electronic check,64.23,3910.69,0
