median_income,house_age,total_rooms,total_bedrooms,population,ocean_proximity,median_house_value
6.91,24,4509,825.0,1885,<1H OCEAN,361400.0
3.42,48,1920,351.0,1196,INLAND,195200.0
10.45,41,648,157.0,277,<1H OCEAN,496400.0
7.68,7,3212,774.0,1629,INLAND,309600.0
3.53,11,3704,785.0,2321,INLAND,151700.0
3.09,9,1768,338.0,1278,NEAR BAY,223600.0
6.82,49,3386,806.0,2114,NEAR BAY,397500.0
12.03,30,3691,748.0,2858,NEAR BAY,500000.0
1.74,41,2746,574.0,1988,NEAR BAY,222300.0
5.18,3,4675,1064.0,2162,INLAND,262700.0
6.33,22,1247,255.0,692,NEAR BAY,347000.0
7.84,40,4834,1082.0,3226,NEAR BAY,417100.0
6.36,51,4830,1168.0,3745,<1H OCEAN,387500.0
2.96,20,4968,1171.0,3949,<1H OCEAN,269100.0
1.6,32,1264,261.0,891,<1H OCEAN,189500.0
3.31,48,4021,804.0,2531,NEAR OCEAN,264600.0
6.24,7,767,153.0,538,NEAR BAY,316300.0
2.76,7,1636,334.0,833,NEAR BAY,200600.0
8.54,20,4710,1010.0,2418,INLAND,366800.0
3.7,25,4744,992.0,3139,NEAR OCEAN,277100.0
2.65,45,4905,928.0,3672,<1H OCEAN,249300.0
5.52,35,2905,556.0,2288,INLAND,252700.0
3.47,44,2683,547.0,1439,NEAR BAY,265900.0
3.04,24,3979,872.0,2859,<1H OCEAN,269500.0
11.21,40,2994,663.0,2217,INLAND,430600.0
2.75,13,2060,440.0,1337,INLAND,156600.0
3.23,48,3536,819.0,1906,NEAR OCEAN,256200.0
5.57,39,2090,484.0,1353,<1H OCEAN,358300.0
8.46,4,4491,942.0,2846,NEAR OCEAN,448100.0
5.27,12,1297,244.0,833,INLAND,226600.0
4.26,17,1838,399.0,1190,<1H OCEAN,269400.0
11.95,1,1858,384.0,1372,NEAR OCEAN,500000.0
3.14,17,1325,251.0,620,<1H OCEAN,226200.0
3.15,2,463,115.0,253,<1H OCEAN,233600.0
2.78,6,3192,657.0,2025,<1H OCEAN,218600.0
5.08,44,360,80.0,184,NEAR OCEAN,309100.0
2.27,11,1456,312.0,1152,NEAR BAY,223000.0
1.89,43,510,96.0,257,INLAND,95000.0
3.23,18,426,78.0,250,INLAND,148700.0
1.3,40,472,105.0,354,NEAR OCEAN,154600.0
4.7,25,4612,909.0,1992,NEAR OCEAN,324600.0
5.08,39,2122,418.0,1545,NEAR BAY,341900.0
5.6,28,3357,829.0,2109,NEAR BAY,324600.0
6.55,46,2538,538.0,1047,NEAR OCEAN,375000.0
3.28,16,1801,327.0,1370,INLAND,143300.0
7.92,12,3918,798.0,1628,INLAND,335400.0
7.48,41,2622,579.0,1589,NEAR BAY,412800.0
2.06,29,2125,431.0,891,INLAND,118400.0
3.91,23,766,139.0,328,<1H OCEAN,274600.0
0.67,21,3115,657.0,2351,INLAND,87400.0
7.98,16,451,84.0,318,INLAND,287000.0
6.49,51,2554,570.0,1222,NEAR OCEAN,378000.0
9.02,48,3701,826.0,2398,NEAR BAY,493600.0
1.42,41,4970,907.0,3567,NEAR BAY,223000.0
5.35,45,2511,503.0,1897,NEAR OCEAN,333800.0
2.9,26,2315,483.0,1359,<1H OCEAN,228200.0
0.94,37,1802,393.0,1367,INLAND,83000.0
7.04,22,3470,696.0,2092,INLAND,307300.0
1.76,51,713,142.0,481,INLAND,72500.0
4.96,10,641,159.0,507,<1H OCEAN,287000.0
2.88,7,200,36.0,98,NEAR BAY,216300.0
4.46,9,1102,274.0,515,INLAND,175400.0
6.61,25,1420,260.0,762,NEAR BAY,356500.0
4.47,46,2521,504.0,1174,<1H OCEAN,305000.0
2.24,15,1055,226.0,541,INLAND,123600.0
11.37,13,1217,231.0,848,INLAND,431800.0
3.31,42,2420,458.0,1430,NEAR BAY,264100.0
2.53,46,4880,965.0,2684,NEAR BAY,237900.0
3.84,26,3704,919.0,2027,<1H OCEAN,264200.0
1.45,21,4750,,2269,<1H OCEAN,210200.0
2.68,23,395,86.0,228,<1H OCEAN,200800.0
3.44,44,4894,1122.0,3180,<1H OCEAN,262600.0
4.68,28,1532,355.0,698,NEAR BAY,293300.0
4.16,51,4851,1106.0,3828,<1H OCEAN,295500.0
5.36,38,1717,349.0,991,NEAR BAY,359300.0
3.93,12,4734,889.0,3688,NEAR BAY,253200.0
7.43,24,2897,578.0,1314,<1H OCEAN,396800.0
5.9,13,4654,906.0,3289,NEAR OCEAN,337800.0
5.12,40,3307,626.0,2139,<1H OCEAN,341000.0
8.12,48,1257,228.0,915,<1H OCEAN,409700.0
8.12,2,2905,713.0,1859,ISLAND,424400.0
4.34,39,2263,553.0,1776,NEAR BAY,300500.0
3.21,12,2992,549.0,1947,NEAR OCEAN,227300.0
4.58,39,620,119.0,442,<1H OCEAN,270100.0
3.73,51,4848,919.0,3641,<1H OCEAN,294400.0
3.13,14,3014,601.0,2067,<1H OCEAN,240700.0
4.48,30,3040,590.0,1853,<1H OCEAN,294300.0
5.03,41,1231,303.0,626,<1H OCEAN,314800.0
5.74,50,1691,314.0,1254,INLAND,261300.0
